id_empresa,Nombre,Clave,Logo,Alumnos
1,AGC,1,images\logo_AGC1.png,Grupo 1
2,Naelf,2,images\logo_Naelf1.png,Grupo 2
3,Castellanas,3,images\logo_Castellanas1.png,Grupo 3
4,Gaudium,4,images\logo_Gaudium1.png,Grupo 4
5,DelParque,5,images\logo_DelParque1.png,Grupo 5
